state,year,quarter,district,transaction_count,transaction_amount
andaman-&-nicobar-islands,2021,1,"nicobars district",10302,39075266.9856904
andaman-&-nicobar-islands,2021,2,"north and middle andaman district",39200,90233388.79463302
andaman-&-nicobar-islands,2021,2,"south andaman district",286907,760893020.5704944
andaman-&-nicobar-islands,2021,2,"nicobars district",15307,48020606.74716837
andaman-&-nicobar-islands,2021,3,"north and middle andaman district",46592,118254865.82750683
andaman-&-nicobar-islands,2021,3,"south andaman district",382418,1116789010.6459613
andaman-&-nicobar-islands,2021,3,"nicobars district",20754,74980519.3281361
andaman-&-nicobar-islands,2021,4,"north and middle andaman district",53115,156486112.28732437
andaman-&-nicobar-islands,2021,4,"south andaman district",558571,1694794708.0093334
andaman-&-nicobar-islands,2021,4,"nicobars district",24437,81329281.0269996
andaman-&-nicobar-islands,2022,1,"north and middle andaman district",60059,161624878.52274162
andaman-&-nicobar-islands,2022,1,"south andaman district",705512,1872991195.902684
andaman-&-nicobar-islands,2022,1,"nicobars district",29177,94414127.64974089
andaman-&-nicobar-islands,2022,2,"north and middle andaman district",72573,195693167.78757268
andaman-&-nicobar-islands,2022,2,"south andaman district",954875,2357326563.362071
andaman-&-nicobar-islands,2022,2,"nicobars district",43769,132900618.93062323
andaman-&-nicobar-islands,2022,3,"north and middle andaman district",79574,211581970.34202656
andaman-&-nicobar-islands,2022,3,"south andaman district",1455255,2967719400.849909
andaman-&-nicobar-islands,2022,3,"nicobars district",49550,131330400.94545083
andaman-&-nicobar-islands,2022,4,"north and middle andaman district",93297,241431284.3558103
andaman-&-nicobar-islands,2022,4,"south andaman district",1835592,3600887266.099448
andaman-&-nicobar-islands,2022,4,"nicobars district",58646,142355853.97352526
andaman-&-nicobar-islands,2023,1,"north and middle andaman district",152187,392080332
andaman-&-nicobar-islands,2023,1,"south andaman district",2030078,3867385426
andaman-&-nicobar-islands,2023,1,"nicobars district",94127,202062829
andaman-&-nicobar-islands,2023,2,"north and middle andaman district",181149,462414675
andaman-&-nicobar-islands,2023,2,"south andaman district",2417058,4297737197
andaman-&-nicobar-islands,2023,2,"nicobars district",109568,230192364
andaman-&-nicobar-islands,2023,3,"north and middle andaman district",198547,495623030
andaman-&-nicobar-islands,2023,3,"south andaman district",2771397,4462201588
andaman-&-nicobar-islands,2023,3,"nicobars district",128432,253772173
andaman-&-nicobar-islands,2023,4,"north and middle andaman district",230234,540759631
andaman-&-nicobar-islands,2023,4,"south andaman district",3311962,5417264997
andaman-&-nicobar-islands,2023,4,"nicobars district",153587,311527871
andaman-&-nicobar-islands,2024,1,"north and middle andaman district",266400,601756070
andaman-&-nicobar-islands,2024,1,"south andaman district",3751724,5952049462
andaman-&-nicobar-islands,2024,1,"nicobars district",166796,305346303
andaman-&-nicobar-islands,2024,2,"north and middle andaman district",313301,676844858
andaman-&-nicobar-islands,2024,2,"south andaman district",4153251,6285248054
andaman-&-nicobar-islands,2024,2,"nicobars district",186672,333687418
andaman-&-nicobar-islands,2024,3,"north and middle andaman district",364075,724234808
andaman-&-nicobar-islands,2024,3,"south andaman district",4704639,6567147442
andaman-&-nicobar-islands,2024,3,"nicobar district",210536,372462759
andaman-&-nicobar-islands,2024,4,"north and middle andaman district",411230,759100984
andaman-&-nicobar-islands,2024,4,"south andaman district",5419850,7760167334
andaman-&-nicobar-islands,2024,4,"nicobar district",232820,401676455
andhra-pradesh,2018,1,"east godavari district",943935,1235785515.5997267
andhra-pradesh,2018,1,"srikakulam district",458921,587778028.9183557
andhra-pradesh,2018,1,"spsr nellore district",531612,676643237.8069417
andhra-pradesh,2018,1,"vizianagaram district",420990,505783445.78162
andhra-pradesh,2018,1,"visakhapatnam district",1256469,1749966196.5049946
andhra-pradesh,2018,1,"prakasam district",534757,748990775.8676485
andhra-pradesh,2018,1,"anantapur district",638664,788830646.0324218
andhra-pradesh,2018,1,"ysr district",487333,681481931.0936775
andhra-pradesh,2018,1,"west godavari district",577090,853547668.7532666
andhra-pradesh,2018,1,"kurnool district",679623,764905298.7350456
andhra-pradesh,2018,1,"chittoor district",830324,1009621878.0870512
andhra-pradesh,2018,1,"guntur district",815932,1108686589.0266829
andhra-pradesh,2018,1,"krishna district",863935,1284255179.6156201
andhra-pradesh,2018,2,"east godavari district",1221677,2168914928.4239016
andhra-pradesh,2018,2,"srikakulam district",559868,929392017.3670053
andhra-pradesh,2018,2,"spsr nellore district",780454,1542057934.0108962
andhra-pradesh,2018,2,"vizianagaram district",529588,811711367.5080048
andhra-pradesh,2018,2,"visakhapatnam district",1641192,2987853607.2939095
andhra-pradesh,2018,2,"prakasam district",739991,1571167562.1276276
andhra-pradesh,2018,2,"anantapur district",937023,1690366079.0557928
andhra-pradesh,2018,2,"ysr district",690842,1415500367.6861844
andhra-pradesh,2018,2,"west godavari district",786033,1688025212.3045945
andhra-pradesh,2018,2,"kurnool district",968439,1531888665.6843233
andhra-pradesh,2018,2,"chittoor district",1185723,1990419125.8937118
andhra-pradesh,2018,2,"guntur district",1088101,2108475811.7859967
andhra-pradesh,2018,2,"krishna district",1224987,2448141593.4919834
andhra-pradesh,2018,3,"east godavari district",3226907,3551247095.307447
andhra-pradesh,2018,3,"srikakulam district",1073883,1318322236.598471
andhra-pradesh,2018,3,"spsr nellore district",1308890,2215938596.185108
andhra-pradesh,2018,3,"vizianagaram district",970132,1163546006.895916
andhra-pradesh,2018,3,"visakhapatnam district",3394576,4821892253.393524
andhra-pradesh,2018,3,"prakasam district",1319651,2346453445.483843
andhra-pradesh,2018,3,"anantapur district",1815215,2681787750.464165
andhra-pradesh,2018,3,"ysr district",1557444,2235904512.2542048
andhra-pradesh,2018,3,"west godavari district",1431282,2309078492.8058147
andhra-pradesh,2018,3,"kurnool district",2921189,2908389261.539773
andhra-pradesh,2018,3,"chittoor district",2297429,3283517630.720593
andhra-pradesh,2018,3,"guntur district",1912529,3127764663.180438
andhra-pradesh,2018,3,"krishna district",2396934,3754202654.3844614
andhra-pradesh,2018,4,"east godavari district",3052762,4652624623.436675
andhra-pradesh,2018,4,"srikakulam district",1252807,1870278609.504549
andhra-pradesh,2018,4,"spsr nellore district",1814997,3293448556.9734454
andhra-pradesh,2018,4,"vizianagaram district",1386787,1817673252.5417767
andhra-pradesh,2018,4,"visakhapatnam district",4791421,7366635864.849373
andhra-pradesh,2018,4,"prakasam district",1692862,3255254226.03728
andhra-pradesh,2018,4,"anantapur district",2286391,3975878156.329829
andhra-pradesh,2018,4,"ysr district",1732527,3252340063.2478595
andhra-pradesh,2018,4,"west godavari district",1688482,3237504255.4632454
andhra-pradesh,2018,4,"kurnool district",2508530,3626544852.4069242
andhra-pradesh,2018,4,"chittoor district",3166201,4979093890.223491
andhra-pradesh,2018,4,"guntur district",2546620,4730251217.696959
andhra-pradesh,2018,4,"krishna district",2839161,5416251838.130407
andhra-pradesh,2019,1,"east godavari district",5440146,7382264724.59952
andhra-pradesh,2019,1,"srikakulam district",2526855,3407912878.4152584
andhra-pradesh,2019,1,"spsr nellore district",3333584,5161932216.216368
andhra-pradesh,2019,1,"vizianagaram district",2798241,3364576948.299301
andhra-pradesh,2019,1,"visakhapatnam district",9690866,13459857440.552685
andhra-pradesh,2019,1,"prakasam district",2931081,4807527779.215151
andhra-pradesh,2019,1,"anantapur district",3891336,6044730653.191345
andhra-pradesh,2019,1,"ysr district",2852197,4915811593.896078
andhra-pradesh,2019,1,"west godavari district",2829437,4623764455.47309
andhra-pradesh,2019,1,"kurnool district",4193432,5541564892.509682
andhra-pradesh,2019,1,"chittoor district",6486813,8223371732.233585
andhra-pradesh,2019,1,"guntur district",4846553,7765934169.404485
andhra-pradesh,2019,1,"krishna district",5443981,9061346433.072681
andhra-pradesh,2019,2,"east godavari district",4699261,9116404622.47651
andhra-pradesh,2019,2,"srikakulam district",2019203,4066576539.936839
andhra-pradesh,2019,2,"spsr nellore district",3141891,6880873007.4820595
andhra-pradesh,2019,2,"vizianagaram district",2272320,4443041665.039663
andhra-pradesh,2019,2,"visakhapatnam district",11705738,20797479804.029076
andhra-pradesh,2019,2,"prakasam district",2670529,6262396448.455349
andhra-pradesh,2019,2,"anantapur district",3578836,7830782361.377665
andhra-pradesh,2019,2,"ysr district",2606284,6376856828.130632
andhra-pradesh,2019,2,"west godavari district",2402074,5676818258.955046
andhra-pradesh,2019,2,"kurnool district",3895824,7358285187.018034
andhra-pradesh,2019,2,"chittoor district",5983308,10982727976.224325
andhra-pradesh,2019,2,"guntur district",5005275,10405246943.481495
andhra-pradesh,2019,2,"krishna district",6428472,13437029115.620754
andhra-pradesh,2019,3,"east godavari district",6537303,11387726470.57774
andhra-pradesh,2019,3,"srikakulam district",2556296,4610131289.524039
andhra-pradesh,2019,3,"spsr nellore district",4150195,8256600118.735449
andhra-pradesh,2019,3,"vizianagaram district",2861581,4922069039.19216
andhra-pradesh,2019,3,"visakhapatnam district",16694947,26944837120.046288
andhra-pradesh,2019,3,"prakasam district",3430750,7354502261.150911
andhra-pradesh,2019,3,"anantapur district",4889720,9554081289.488277
andhra-pradesh,2019,3,"ysr district",3296586,7447544274.2117815
andhra-pradesh,2019,3,"west godavari district",3179541,6627629029.01413
andhra-pradesh,2019,3,"kurnool district",5139134,9025632779.412457
andhra-pradesh,2019,3,"chittoor district",8201783,13837455758.755266
andhra-pradesh,2019,3,"guntur district",6942304,13075661264.188034
andhra-pradesh,2019,3,"krishna district",8408474,16404073560.500784
andhra-pradesh,2019,4,"east godavari district",9285739,16816774065.301317
andhra-pradesh,2019,4,"srikakulam district",3712555,6832369301.879345
andhra-pradesh,2019,4,"spsr nellore district",5877804,11786014089.194027
andhra-pradesh,2019,4,"vizianagaram district",3998234,7175851807.068796
andhra-pradesh,2019,4,"visakhapatnam district",23594874,39133296330.044624
andhra-pradesh,2019,4,"prakasam district",4865473,10604077824.801035
andhra-pradesh,2019,4,"anantapur district",6764112,13887248889.064066
andhra-pradesh,2019,4,"ysr district",4793157,10865073855.730783
andhra-pradesh,2019,4,"west godavari district",4596479,9710614747.20177
andhra-pradesh,2019,4,"kurnool district",7001958,13233105728.54823
andhra-pradesh,2019,4,"chittoor district",11246986,19298476027.875484
andhra-pradesh,2019,4,"guntur district",9761330,18565626418.035915
andhra-pradesh,2019,4,"krishna district",11719402,23039786404.04664
andhra-pradesh,2020,1,"east godavari district",11346242,21854701379.428688
andhra-pradesh,2020,1,"srikakulam district",4835092,9777575594.177538
andhra-pradesh,2020,1,"spsr nellore district",7430247,15387829694.446861
andhra-pradesh,2020,1,"vizianagaram district",5042066,9879174240.920494
andhra-pradesh,2020,1,"visakhapatnam district",27115031,48809747614.678894
andhra-pradesh,2020,1,"prakasam district",6318396,14169104764.526735
andhra-pradesh,2020,1,"anantapur district",8466129,17864325752.82528
andhra-pradesh,2020,1,"ysr district",6031255,14059924636.819912
andhra-pradesh,2020,1,"west godavari district",5919670,12995834340.716236
andhra-pradesh,2020,1,"kurnool district",8246869,17022710311.813046
andhra-pradesh,2020,1,"chittoor district",13257740,23441848567.344193
andhra-pradesh,2020,1,"guntur district",11493331,22992734620.64621
andhra-pradesh,2020,1,"krishna district",12175289,24481702770.71471
andhra-pradesh,2020,2,"east godavari district",13130334,26319906327.32029
andhra-pradesh,2020,2,"srikakulam district",6425515,12153650076.875832
andhra-pradesh,2020,2,"spsr nellore district",9454274,20665376460.772232
andhra-pradesh,2020,2,"vizianagaram district",6690313,12819344389.545382
andhra-pradesh,2020,2,"visakhapatnam district",25300401,48293889917.41437
andhra-pradesh,2020,2,"prakasam district",8844580,19846026726.904335
andhra-pradesh,2020,2,"anantapur district",10473739,22094006659.412506
andhra-pradesh,2020,2,"ysr district",8033609,19597207268.132023
andhra-pradesh,2020,2,"west godavari district",7273096,16585866855.159784
andhra-pradesh,2020,2,"kurnool district",9821381,22419372061.805172
andhra-pradesh,2020,2,"chittoor district",14848197,27361300300.01902
andhra-pradesh,2020,2,"guntur district",12308707,27463593607.839108
andhra-pradesh,2020,2,"krishna district",12313709,26964149095.366295
andhra-pradesh,2020,3,"east godavari district",17972431,39300043804.75851
andhra-pradesh,2020,3,"srikakulam district",8286289,18029574581.337425
andhra-pradesh,2020,3,"spsr nellore district",16468209,39128324534.03022
andhra-pradesh,2020,3,"vizianagaram district",8236703,17567816576.501263
andhra-pradesh,2020,3,"visakhapatnam district",34421299,67628440368.111465
andhra-pradesh,2020,3,"prakasam district",12266310,31221704852.44969
andhra-pradesh,2020,3,"anantapur district",14447683,34102037972.65785
andhra-pradesh,2020,3,"ysr district",11934653,32037007334.12973
andhra-pradesh,2020,3,"west godavari district",10412351,25408608725.754295
andhra-pradesh,2020,3,"kurnool district",13243292,32529351107.17173
andhra-pradesh,2020,3,"chittoor district",20501863,42811566246.16463
andhra-pradesh,2020,3,"guntur district",17601395,42531195809.75448
andhra-pradesh,2020,3,"krishna district",19110457,44788458672.084435
andhra-pradesh,2020,4,"east godavari district",25989490,58732615663.118416
andhra-pradesh,2020,4,"srikakulam district",11092184,25222520275.27882
andhra-pradesh,2020,4,"spsr nellore district",20934374,49115443663.37911
andhra-pradesh,2020,4,"vizianagaram district",10580824,24094847668.445065
andhra-pradesh,2020,4,"visakhapatnam district",46551467,91879823025.40399
andhra-pradesh,2020,4,"prakasam district",16176867,41852443493.515396
andhra-pradesh,2020,4,"anantapur district",20996384,49732610814.26222
andhra-pradesh,2020,4,"ysr district",15676878,42572974713.44026
andhra-pradesh,2020,4,"west godavari district",15674762,40310975762.603455
andhra-pradesh,2020,4,"kurnool district",18737323,44718203115.22612
andhra-pradesh,2020,4,"chittoor district",29590411,61505711149.79541
andhra-pradesh,2020,4,"guntur district",26136538,60641872021.25432
andhra-pradesh,2020,4,"krishna district",27981050,64461504667.60723
andhra-pradesh,2021,1,"east godavari district",26190701,60027984987.96951
andhra-pradesh,2021,1,"srikakulam district",11160473,26486623313.092724
andhra-pradesh,2021,1,"spsr nellore district",22541428,52210333201.53073
andhra-pradesh,2021,1,"vizianagaram district",10514582,24153782497.243248
andhra-pradesh,2021,1,"visakhapatnam district",48248923,95308386037.84721
andhra-pradesh,2021,1,"prakasam district",15175395,41396223622.174774
andhra-pradesh,2021,1,"anantapur district",20102957,48353870395.01808
andhra-pradesh,2021,1,"ysr district",15374473,42570919448.50447
andhra-pradesh,2021,1,"west godavari district",16015685,42124030669.36126
andhra-pradesh,2021,1,"kurnool district",17918524,44941629659.56964
andhra-pradesh,2021,1,"chittoor district",29342609,60947491846.66089
andhra-pradesh,2021,1,"guntur district",27445045,64207987853.108406
andhra-pradesh,2021,1,"krishna district",29717175,69715406644.53485
andhra-pradesh,2021,2,"east godavari district",31717908,74604325863.66068
andhra-pradesh,2021,2,"srikakulam district",13546232,32298129544.540867
andhra-pradesh,2021,2,"spsr nellore district",30290406,72283071757.09679
andhra-pradesh,2021,2,"vizianagaram district",12689494,29140685236.830723
andhra-pradesh,2021,2,"visakhapatnam district",54390299,114439012713.35336
andhra-pradesh,2021,2,"prakasam district",19944047,54535328043.04135
andhra-pradesh,2021,2,"anantapur district",25123346,60987487571.279915
andhra-pradesh,2021,2,"ysr district",18457361,52523527031.02132
andhra-pradesh,2021,2,"west godavari district",20950964,57233116236.18796
andhra-pradesh,2021,2,"kurnool district",21972396,56659287474.995804
andhra-pradesh,2021,2,"chittoor district",34344902,73654690122.43158
andhra-pradesh,2021,2,"guntur district",32968819,82356914463.83287
andhra-pradesh,2021,2,"krishna district",36370960,90021923049.96454
andhra-pradesh,2021,3,"east godavari district",39572714,89380370072.7078
andhra-pradesh,2021,3,"srikakulam district",15639768,34836400769.876816
andhra-pradesh,2021,3,"spsr nellore district",34411958,77839676988.30869
andhra-pradesh,2021,3,"vizianagaram district",14510005,31383541628.212524
andhra-pradesh,2021,3,"visakhapatnam district",69220981,136945652159.26515
andhra-pradesh,2021,3,"prakasam district",24116580,63367713446.928055
andhra-pradesh,2021,3,"anantapur district",30366444,70291248155.64975
andhra-pradesh,2021,3,"ysr district",22439316,60683557724.652336
andhra-pradesh,2021,3,"west godavari district",26245039,66647238455.1675
andhra-pradesh,2021,3,"kurnool district",26377809,62527453761.59807
andhra-pradesh,2021,3,"chittoor district",42628568,89371931753.04831
andhra-pradesh,2021,3,"guntur district",41675093,96525353090.12305
andhra-pradesh,2021,3,"krishna district",44828275,104417897558.58972
andhra-pradesh,2021,4,"east godavari district",48992531,106725597026.00356
andhra-pradesh,2021,4,"srikakulam district",18501857,39713657870.15512
andhra-pradesh,2021,4,"spsr nellore district",41921081,92256405076.26547
andhra-pradesh,2021,4,"vizianagaram district",17253059,36577529464.9687
andhra-pradesh,2021,4,"visakhapatnam district",82711538,159530099772.73474
andhra-pradesh,2021,4,"prakasam district",27858275,71323060008.47623
andhra-pradesh,2021,4,"anantapur district",36129136,81239787006.64764
andhra-pradesh,2021,4,"ysr district",26340348,69081850069.2033
andhra-pradesh,2021,4,"west godavari district",33235175,81292461575.08182
andhra-pradesh,2021,4,"kurnool district",31782248,73968947669.64754
andhra-pradesh,2021,4,"chittoor district",51119640,103985734663.73514
andhra-pradesh,2021,4,"guntur district",50919286,115553993673.17337
andhra-pradesh,2021,4,"krishna district",55489829,125015323207.89836
andhra-pradesh,2022,1,"east godavari district",54738830,121067103712.79568
andhra-pradesh,2022,1,"srikakulam district",20990782,46898912115.649216
andhra-pradesh,2022,1,"spsr nellore district",47645702,104895571602.13988
andhra-pradesh,2022,1,"vizianagaram district",19278262,41994853361.58879
andhra-pradesh,2022,1,"visakhapatnam district",88233362,170120350591.26004
andhra-pradesh,2022,1,"prakasam district",31340975,79494373254.71565
andhra-pradesh,2022,1,"anantapur district",40613148,90197023268.43825
andhra-pradesh,2022,1,"ysr district",29783739,78421693518.90942
andhra-pradesh,2022,1,"west godavari district",37271259,92397939903.60938
andhra-pradesh,2022,1,"kurnool district",35093633,81568420500.54749
andhra-pradesh,2022,1,"chittoor district",58561024,117900595508.634
andhra-pradesh,2022,1,"guntur district",57226996,129673727687.08942
andhra-pradesh,2022,1,"krishna district",61826199,139690081529.49048
andhra-pradesh,2022,2,"east godavari district",62072845,135531452997.6391
andhra-pradesh,2022,2,"srikakulam district",23727353,53754764122.4327
andhra-pradesh,2022,2,"spsr nellore district",54838708,121941082043.49483
andhra-pradesh,2022,2,"vizianagaram district",21766135,47294745020.495636
andhra-pradesh,2022,2,"visakhapatnam district",101387402,193242841582.14285
andhra-pradesh,2022,2,"prakasam district",36163507,90435082545.97766
andhra-pradesh,2022,2,"anantapur district",46099366,102138758015.76915
andhra-pradesh,2022,2,"ysr district",33154559,87601310069.59737
andhra-pradesh,2022,2,"west godavari district",44409239,107973244960.42824
andhra-pradesh,2022,2,"kurnool district",40165692,92409350855.50198
andhra-pradesh,2022,2,"chittoor district",67507661,136435445124.75616
andhra-pradesh,2022,2,"guntur district",66315749,147098141568.7623
andhra-pradesh,2022,2,"krishna district",73525814,163997729295.93134
andhra-pradesh,2022,3,"east godavari district",61467134,129677722169.74829
andhra-pradesh,2022,3,"srikakulam district",22126541,46899962921.785614
andhra-pradesh,2022,3,"spsr nellore district",42116582,95099325968.25972
andhra-pradesh,2022,3,"vizianagaram district",20440645,42513313394.84207
andhra-pradesh,2022,3,"visakhapatnam district",97434546,181124419863.61444
andhra-pradesh,2022,3,"prakasam district",35376080,87475230073.46387
andhra-pradesh,2022,3,"anantapur district",45165363,97735649608.10074
andhra-pradesh,2022,3,"ysr district",33119038,86016932181.12372
andhra-pradesh,2022,3,"west godavari district",43635951,101706854744.31876
andhra-pradesh,2022,3,"kurnool district",39557913,88415335176.31995
andhra-pradesh,2022,3,"chittoor district",65751781,133053581631.6395
andhra-pradesh,2022,3,"guntur district",65612317,141588522953.23773
andhra-pradesh,2022,3,"krishna district",71051144,153770559025.69125
andhra-pradesh,2022,4,"east godavari district",68016055,136531110139.86256
andhra-pradesh,2022,4,"srikakulam district",23693779,47726411107.88628
andhra-pradesh,2022,4,"spsr nellore district",42582064,92085916180.6851
andhra-pradesh,2022,4,"vizianagaram district",22205190,44467386404.34758
andhra-pradesh,2022,4,"visakhapatnam district",103790055,185306149744.73108
andhra-pradesh,2022,4,"prakasam district",37211077,88105031866.36835
andhra-pradesh,2022,4,"anantapur district",48299601,101533878537.23433
andhra-pradesh,2022,4,"ysr district",35201596,87360426792.81667
andhra-pradesh,2022,4,"west godavari district",47919930,105335724990.59325
andhra-pradesh,2022,4,"kurnool district",43524766,94667441029.08345
andhra-pradesh,2022,4,"chittoor district",70322534,136840859888.18155
andhra-pradesh,2022,4,"guntur district",70723763,146938735166.52365
andhra-pradesh,2022,4,"krishna district",76526667,157826011193.35443
andhra-pradesh,2023,1,"east godavari district",115196449,223454724672
andhra-pradesh,2023,1,"srikakulam district",42209999,86486032409
andhra-pradesh,2023,1,"spsr nellore district",71318689,143967164643
andhra-pradesh,2023,1,"vizianagaram district",38838861,76472384525
andhra-pradesh,2023,1,"visakhapatnam district",164358781,277211090180
andhra-pradesh,2023,1,"prakasam district",63671149,141672839638
andhra-pradesh,2023,1,"anantapur district",82127373,162287796625
andhra-pradesh,2023,1,"ysr district",59768512,140117633668
andhra-pradesh,2023,1,"west godavari district",79094558,165941144654
andhra-pradesh,2023,1,"kurnool district",72405172,149100361797
andhra-pradesh,2023,1,"chittoor district",120192355,218037027226
andhra-pradesh,2023,1,"guntur district",114246185,226244225817
andhra-pradesh,2023,1,"krishna district",122104381,238058890676
andhra-pradesh,2023,2,"east godavari district",131243375,245134717109
andhra-pradesh,2023,2,"srikakulam district",47633204,93082175904
andhra-pradesh,2023,2,"spsr nellore district",82056071,165181391414
andhra-pradesh,2023,2,"vizianagaram district",43625851,82671020353
andhra-pradesh,2023,2,"visakhapatnam district",184918179,303874597259
andhra-pradesh,2023,2,"prakasam district",73598725,158428689659
andhra-pradesh,2023,2,"anantapur district",91695174,180050369328
andhra-pradesh,2023,2,"ysr district",66809788,156231915019
andhra-pradesh,2023,2,"west godavari district",92533269,187699526244
andhra-pradesh,2023,2,"kurnool district",81475907,166991990104
andhra-pradesh,2023,2,"chittoor district",136283483,245550525910
andhra-pradesh,2023,2,"guntur district",132035450,254140764680
andhra-pradesh,2023,2,"krishna district",141748488,267001403933
andhra-pradesh,2023,3,"east godavari district",148701666,260414286361
andhra-pradesh,2023,3,"srikakulam district",51382393,91818203167
andhra-pradesh,2023,3,"spsr nellore district",93875073,176593750929
andhra-pradesh,2023,3,"vizianagaram district",47856766,83289704541
andhra-pradesh,2023,3,"visakhapatnam district",209884966,328927220951
andhra-pradesh,2023,3,"prakasam district",84447202,171207298619
andhra-pradesh,2023,3,"anantapur district",104539628,192477441164
andhra-pradesh,2023,3,"ysr district",76091693,168218516193
andhra-pradesh,2023,3,"west godavari district",102962058,191891823401
andhra-pradesh,2023,3,"kurnool district",92890445,172979053545
andhra-pradesh,2023,3,"chittoor district",152863845,265404757144
andhra-pradesh,2023,3,"guntur district",150246761,270651818044
andhra-pradesh,2023,3,"krishna district",159421907,279540224039
andhra-pradesh,2023,4,"east godavari district",162793144,282329255747
andhra-pradesh,2023,4,"srikakulam district",56291337,97021746702
andhra-pradesh,2023,4,"spsr nellore district",97721962,179306028468
andhra-pradesh,2023,4,"vizianagaram district",53248760,90289502507
andhra-pradesh,2023,4,"visakhapatnam district",223584765,344512874812
andhra-pradesh,2023,4,"prakasam district",89721677,174929737360
andhra-pradesh,2023,4,"anantapur district",113698752,203367177888
andhra-pradesh,2023,4,"ysr district",83729195,176644897379
andhra-pradesh,2023,4,"west godavari district",114825704,209237892746
andhra-pradesh,2023,4,"kurnool district",103816175,190597527675
andhra-pradesh,2023,4,"chittoor district",163521593,274132458092
andhra-pradesh,2023,4,"guntur district",160724947,281806839570
andhra-pradesh,2023,4,"krishna district",173309415,298339038877
andhra-pradesh,2024,1,"east godavari district",179489444,306324309402
andhra-pradesh,2024,1,"srikakulam district",66267698,118669200655
andhra-pradesh,2024,1,"spsr nellore district",108549115,190803645040
andhra-pradesh,2024,1,"vizianagaram district",61170983,105672797741
andhra-pradesh,2024,1,"visakhapatnam district",238418938,363341573689
andhra-pradesh,2024,1,"prakasam district",99550457,187480623851
andhra-pradesh,2024,1,"anantapur district",125240418,212681689201
andhra-pradesh,2024,1,"ysr district",94211451,190227479302
andhra-pradesh,2024,1,"west godavari district",127602250,228733104931
andhra-pradesh,2024,1,"kurnool district",115036343,204805909023
andhra-pradesh,2024,1,"chittoor district",179903083,289620567340
andhra-pradesh,2024,1,"guntur district",173636233,297371276946
andhra-pradesh,2024,1,"krishna district",186352072,316993492628
andhra-pradesh,2024,2,"east godavari district",197431466,319787453310
andhra-pradesh,2024,2,"srikakulam district",70555405,119668161926
andhra-pradesh,2024,2,"spsr nellore district",121146667,208460354672
andhra-pradesh,2024,2,"vizianagaram district",64618416,106767080307
andhra-pradesh,2024,2,"visakhapatnam district",260339876,378402015204
